#program	WINDREAM.EXE
#sha256	1635f530e1ce64237b978073252bc2c583ead5e2436563ba3a42be4dc1b2c761
#imagebase	400000
FUNC	65538	entry	undefined entry(void)	
CMT	9c7d4	plate	IMAGE_IMPORT_BY_NAME
CMT	9c7e8	plate	IMAGE_IMPORT_BY_NAME
CMT	9c7f2	plate	IMAGE_IMPORT_BY_NAME
CMT	9c7fe	plate	IMAGE_IMPORT_BY_NAME
CMT	9c810	plate	IMAGE_IMPORT_BY_NAME
CMT	9c822	plate	IMAGE_IMPORT_BY_NAME
CMT	9c834	plate	IMAGE_IMPORT_BY_NAME
CMT	9c84c	plate	IMAGE_IMPORT_BY_NAME
CMT	9c862	plate	IMAGE_IMPORT_BY_NAME
CMT	9c878	plate	IMAGE_IMPORT_BY_NAME
CMT	9c88c	plate	IMAGE_IMPORT_BY_NAME
CMT	9c8a4	plate	IMAGE_IMPORT_BY_NAME
CMT	9c8ba	plate	IMAGE_IMPORT_BY_NAME
CMT	9c8c8	plate	IMAGE_IMPORT_BY_NAME
CMT	9c8dc	plate	IMAGE_IMPORT_BY_NAME
CMT	9c8ec	plate	IMAGE_IMPORT_BY_NAME
CMT	9c902	plate	IMAGE_IMPORT_BY_NAME
CMT	9c918	plate	IMAGE_IMPORT_BY_NAME
CMT	9c92c	plate	IMAGE_IMPORT_BY_NAME
CMT	9c938	plate	IMAGE_IMPORT_BY_NAME
CMT	9c94a	plate	IMAGE_IMPORT_BY_NAME
CMT	9c95a	plate	IMAGE_IMPORT_BY_NAME
CMT	9c968	plate	IMAGE_IMPORT_BY_NAME
CMT	9c984	plate	IMAGE_IMPORT_BY_NAME
CMT	9c99c	plate	IMAGE_IMPORT_BY_NAME
CMT	9c9ac	plate	IMAGE_IMPORT_BY_NAME
CMT	9c9c6	plate	IMAGE_IMPORT_BY_NAME
CMT	9c9d2	plate	IMAGE_IMPORT_BY_NAME
CMT	9c9e8	plate	IMAGE_IMPORT_BY_NAME
CMT	9c9fc	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca16	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca2a	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca36	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca4e	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca60	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca78	plate	IMAGE_IMPORT_BY_NAME
CMT	9ca92	plate	IMAGE_IMPORT_BY_NAME
CMT	9caac	plate	IMAGE_IMPORT_BY_NAME
CMT	9cab8	plate	IMAGE_IMPORT_BY_NAME
CMT	9caca	plate	IMAGE_IMPORT_BY_NAME
CMT	9cada	plate	IMAGE_IMPORT_BY_NAME
CMT	9caea	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb08	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb10	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb1c	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb26	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb34	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb42	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb5e	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb6e	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb7c	plate	IMAGE_IMPORT_BY_NAME
CMT	9cb8c	plate	IMAGE_IMPORT_BY_NAME
CMT	9cba2	plate	IMAGE_IMPORT_BY_NAME
CMT	9cbb8	plate	IMAGE_IMPORT_BY_NAME
CMT	9cbc8	plate	IMAGE_IMPORT_BY_NAME
CMT	9cbd4	plate	IMAGE_IMPORT_BY_NAME
CMT	9cbe8	plate	IMAGE_IMPORT_BY_NAME
CMT	2be150	plate	Rsrc_Icon_1_0 Size of resource: 0x2e8 bytes
CMT	2be438	plate	Rsrc_Icon_2_0 Size of resource: 0x8a8 bytes
CMT	2bece0	plate	Rsrc_Icon_3_0 Size of resource: 0x668 bytes
CMT	2bf348	plate	Rsrc_Icon_4_0 Size of resource: 0xea8 bytes
CMT	2c01f0	plate	Rsrc_GroupIcon_IDI_DREAMS_ICON_0 Size of resource: 0x3e bytes
